Date,return,turnover,holdings
2013-09-30,0.07042715565080987,0.19444444444444445,36
2013-10-31,0.03453368035227764,0.19444444444444445,36
2013-11-30,0.026698144602205154,0.2222222222222222,36
2013-12-31,0.02260728117538401,0.19444444444444445,36
2014-01-31,0.014711975614359904,0.25,36
2014-02-28,0.06685726802554418,0.2222222222222222,36
2014-03-31,-0.031753006502575724,0.19444444444444445,36
2014-04-30,-0.018825479250790166,0.25,36
2014-05-31,0.04838723359409539,0.3055555555555556,36
2014-06-30,0.048440940836989965,0.2222222222222222,36
2014-07-31,-0.019516711794080103,0.1111111111111111,36
2014-08-31,0.04904320967999738,0.2777777777777778,36
2014-09-30,-0.021827948650199706,0.25,36
2014-10-31,0.03304700177527881,0.3055555555555556,36
2014-11-30,0.03482262797616737,0.3333333333333333,36
2014-12-31,-0.002673439414985308,0.1388888888888889,36
2015-01-31,0.005044683573768435,0.3055555555555556,36
2015-02-28,0.02799841294579864,0.3611111111111111,36
2015-03-31,-0.0041327670495538175,0.3333333333333333,36
2015-04-30,-0.02765357416966575,0.25,36
2015-05-31,0.0458837185831477,0.19444444444444445,36
2015-06-30,0.010690118942383961,0.19444444444444445,36
2015-07-31,0.034608620209039355,0.16666666666666666,36
2015-08-31,-0.048758015927736736,0.25,36
2015-09-30,-0.004791209881688827,0.25,36
2015-10-31,0.07207959978527556,0.1388888888888889,36
2015-11-30,0.009559737396439031,0.16666666666666666,36
2015-12-31,-0.001572972750812029,0.16666666666666666,36
2016-01-31,-0.055647895950891826,0.2222222222222222,36
2016-02-29,-0.020474364502983317,0.3333333333333333,36
2016-03-31,0.07351346800273922,0.2222222222222222,36
2016-04-30,-0.005746254850062418,0.16666666666666666,36
2016-05-31,0.04136841262877829,0.1388888888888889,36
2016-06-30,0.043638713960656036,0.1111111111111111,36
2016-07-31,0.030391211306510717,0.2222222222222222,36
2016-08-31,-0.01006846844013878,0.19444444444444445,36
2016-09-30,0.016887586031700194,0.2777777777777778,36
2016-10-31,-0.0379408080439437,0.25,36
2016-11-30,0.03314136501471859,0.2777777777777778,36
2016-12-31,0.008046101959709548,0.4444444444444444,36
2017-01-31,0.026173729870062532,0.2777777777777778,36
2017-02-28,0.02393709218727618,0.25,36
2017-03-31,0.016677864645245347,0.2222222222222222,36
2017-04-30,0.013261513541423155,0.2222222222222222,36
2017-05-31,0.039202274143180636,0.19444444444444445,36
2017-06-30,-0.006099539126967165,0.1111111111111111,36
2017-07-31,0.03800060842061177,0.19444444444444445,36
2017-08-31,0.011655680344101632,0.19444444444444445,36
2017-09-30,0.03696290065918863,0.1388888888888889,36
2017-10-31,0.04899850884412127,0.16666666666666666,36
2017-11-30,0.012673263630070195,0.3333333333333333,36
2017-12-31,-0.007087229292715093,0.16666666666666666,36
2018-01-31,0.0685020368618075,0.2222222222222222,36
2018-02-28,-0.019988777748596535,0.2222222222222222,36
2018-03-31,-0.015004307843773351,0.25,36
2018-04-30,-0.0036287843265432047,0.1111111111111111,36
2018-05-31,0.05020358622290952,0.2777777777777778,36
2018-06-30,-0.005159941887331157,0.19444444444444445,36
2018-07-31,0.026424432700785618,0.2222222222222222,36
2018-08-31,0.058979947993211004,0.25,36
2018-09-30,0.018526495040357114,0.2222222222222222,36
2018-10-31,-0.0987734503909636,0.1111111111111111,36
2018-11-30,0.011207070293537093,0.2222222222222222,36
2018-12-31,-0.0784165771625578,0.19444444444444445,36
2019-01-31,0.0773525854996785,0.4722222222222222,36
2019-02-28,0.028623058588942887,0.3055555555555556,36
2019-03-31,0.01060587296188215,0.3611111111111111,36
2019-04-30,0.0006286159136568626,0.3055555555555556,36
2019-05-31,-0.030449935261791503,0.3333333333333333,36
2019-06-30,0.05138906783376172,0.19444444444444445,36
2019-07-31,0.017803159171710187,0.3611111111111111,36
2019-08-31,0.02507084832069172,0.3055555555555556,36
2019-09-30,-0.0014617823606408909,0.3888888888888889,36
2019-10-31,0.005711028377209555,0.3611111111111111,36
2019-11-30,0.021050161225456186,0.3055555555555556,36
2019-12-31,0.030366266986895145,0.2777777777777778,36
2020-01-31,0.022637615317225405,0.2222222222222222,36
2020-02-29,-0.05587202189134912,0.3333333333333333,36
2020-03-31,-0.09806497775527391,0.3333333333333333,36
